,∞Ì∞¥π¯»£,»≠¿Â«∞_√—±∏∏≈æ◊1,»≠¿Â«∞_√—±∏∏≈æ◊2,»≠¿Â«∞_√—±∏∏≈æ◊3,»≠¿Â«∞_√—±∏∏≈æ◊4,»≠¿Â«∞_√—±∏∏≈æ◊5,»≠¿Â«∞_√—±∏∏≈æ◊6,»≠¿Â«∞_√—±∏∏≈æ◊7,»≠¿Â«∞_√—±∏∏≈æ◊8,»≠¿Â«∞_√—±∏∏≈»Ωºˆ1,»≠¿Â«∞_√—±∏∏≈»Ωºˆ2,»≠¿Â«∞_√—±∏∏≈»Ωºˆ3,»≠¿Â«∞_√—±∏∏≈»Ωºˆ4,»≠¿Â«∞_√—±∏∏≈»Ωºˆ5,»≠¿Â«∞_√—±∏∏≈»Ωºˆ6,»≠¿Â«∞_√—±∏∏≈»Ωºˆ7,»≠¿Â«∞_√—±∏∏≈»Ωºˆ8
11,13,78528.0,232903.0,276102.0,259178.0,82829.0,472634.0,63069.0,39039.0,1.0,3.0,6.0,4.0,8.0,6.0,5.0,6.0
12,14,33359.0,35693.0,23726.0,19067.0,0.0,0.0,37447.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0
13,15,237453.0,140968.0,324821.0,67772.0,88241.0,20374.0,194725.0,104974.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,3.0
14,16,0.0,0.0,22596.0,201933.0,92236.0,48899.0,127320.0,16442.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0
15,17,81479.0,2732716.0,89481.0,1139407.0,0.0,79139.0,1524463.0,1098732.0,2.0,7.0,1.0,5.0,0.0,1.0,5.0,8.0
16,18,667190.0,1538795.0,544682.0,165839.0,483427.0,244494.0,31534.0,49574.0,14.0,9.0,6.0,3.0,6.0,2.0,1.0,1.0
17,19,1939249.0,738417.0,1171555.0,1553843.0,0.0,2367534.0,2387200.0,1104886.0,5.0,2.0,2.0,3.0,0.0,4.0,5.0,3.0
18,20,153316.0,0.0,0.0,0.0,0.0,209857.0,293158.0,296371.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0
19,21,57076.0,17305.0,112303.0,46559.0,268313.0,102408.0,47753.0,16607.0,2.0,1.0,1.0,3.0,1.0,5.0,4.0,2.0
20,22,2973225.0,5168097.0,0.0,6396217.0,2446673.0,3867557.0,1839301.0,1344577.0,2.0,7.0,0.0,6.0,6.0,5.0,3.0,2.0
21,23,1537833.0,685007.0,1471519.0,2029569.0,2782394.0,2960412.0,2399824.0,84070.0,4.0,2.0,5.0,9.0,7.0,4.0,3.0,2.0
22,24,30407.0,0.0,69596.0,0.0,55625.0,6434.0,8447.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
23,25,219690.0,126700.0,10169.0,0.0,134814.0,619438.0,0.0,620257.0,1.0,6.0,2.0,0.0,6.0,5.0,0.0,4.0
24,26,725446.0,140916.0,713192.0,196523.0,336732.0,991218.0,295298.0,631866.0,2.0,3.0,2.0,2.0,7.0,9.0,5.0,9.0
25,27,1005213.0,888449.0,317250.0,1402353.0,1750354.0,0.0,3608436.0,444020.0,1.0,5.0,2.0,7.0,8.0,0.0,14.0,7.0
26,28,2952.0,7416.0,18190.0,163178.0,162828.0,108414.0,1055558.0,338758.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0
27,29,1225099.0,1579946.0,1404069.0,35385.0,688582.0,892670.0,913856.0,618522.0,9.0,3.0,4.0,1.0,6.0,10.0,11.0,6.0
28,30,1430326.0,193759.0,2278710.0,1448071.0,4239556.0,1617733.0,4252585.0,2138923.0,5.0,1.0,6.0,4.0,7.0,5.0,5.0,11.0
29,31,0.0,0.0,22596.0,114048.0,38432.0,6434.0,0.0,33050.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0
30,32,324699.0,36053.0,840713.0,320946.0,318475.0,944624.0,553226.0,708143.0,5.0,1.0,7.0,5.0,5.0,5.0,5.0,8.0
31,33,122091.0,141143.0,40786.0,9046.0,35397.0,19195.0,121182.0,69983.0,7.0,7.0,9.0,2.0,1.0,4.0,6.0,5.0
32,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,35,0.0,921825.0,0.0,0.0,507853.0,188517.0,0.0,794841.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,5.0
34,36,0.0,237579.0,571592.0,1496323.0,0.0,798818.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,2.0,0.0,0.0
35,37,32720.0,337611.0,1617885.0,2880886.0,959272.0,3399105.0,803283.0,1194367.0,1.0,2.0,9.0,9.0,6.0,10.0,6.0,4.0
36,38,12399.0,111579.0,83041.0,23945.0,9708.0,205869.0,36603.0,13550.0,2.0,5.0,3.0,3.0,4.0,8.0,3.0,2.0
37,39,0.0,9159526.0,3485685.0,729600.0,365100.0,2009942.0,0.0,1229194.0,0.0,8.0,1.0,2.0,1.0,2.0,0.0,2.0
38,40,279472.0,17141.0,246863.0,20131.0,0.0,264868.0,129516.0,42221.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0
39,41,0.0,0.0,9264.0,0.0,0.0,8793.0,49848.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0
40,42,101063.0,198085.0,201130.0,46294.0,176351.0,175029.0,167234.0,56390.0,6.0,18.0,17.0,4.0,11.0,15.0,11.0,4.0
41,43,67054.0,82057.0,18800.0,12611.0,13552.0,0.0,13515.0,8675.0,5.0,4.0,3.0,1.0,4.0,0.0,3.0,2.0
42,44,0.0,0.0,0.0,0.0,0.0,0.0,67405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,45,1376300.0,0.0,442998.0,3293709.0,1410438.0,678470.0,1182879.0,1481941.0,2.0,0.0,2.0,8.0,5.0,1.0,2.0,6.0
44,46,1329360.0,0.0,428988.0,1112181.0,390131.0,508397.0,1540231.0,1516238.0,3.0,0.0,2.0,3.0,2.0,2.0,3.0,6.0
45,47,24090.0,14936.0,5536.0,0.0,130465.0,0.0,0.0,137734.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0
46,48,2696853.0,2886322.0,4162496.0,3572575.0,4806372.0,3444680.0,3657991.0,2762939.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0
47,49,408235.0,38165.0,461527.0,442310.0,685800.0,487539.0,93083.0,176815.0,3.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0
48,50,374039.0,14936.0,125409.0,161759.0,72151.0,419499.0,22299.0,137155.0,5.0,1.0,2.0,4.0,6.0,4.0,1.0,1.0
49,51,52155.0,108622.0,38979.0,335624.0,1820.0,79460.0,12501.0,10906.0,5.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0
50,52,300088.0,526477.0,758836.0,452419.0,282472.0,1330454.0,639811.0,1249602.0,3.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0
51,53,0.0,72415.0,153485.0,86245.0,0.0,503250.0,205424.0,114020.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,2.0
52,54,303581.0,280853.0,183141.0,142071.0,142803.0,190501.0,0.0,257456.0,4.0,3.0,2.0,2.0,2.0,3.0,0.0,4.0
53,55,124847.0,126700.0,292642.0,176569.0,264672.0,100587.0,297301.0,66761.0,5.0,3.0,9.0,5.0,7.0,7.0,8.0,3.0
54,56,0.0,0.0,0.0,0.0,0.0,892026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
55,57,30289.0,107953.0,0.0,122260.0,0.0,30026.0,3266.0,0.0,2.0,2.0,0.0,9.0,0.0,1.0,1.0,0.0
56,58,0.0,165072.0,0.0,0.0,0.0,0.0,0.0,215070.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
57,59,373941.0,298468.0,7909.0,165839.0,216178.0,119029.0,178507.0,349292.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0
58,60,0.0,982795.0,339541.0,1326928.0,858622.0,885432.0,1168620.0,3632008.0,0.0,6.0,4.0,3.0,6.0,3.0,4.0,6.0
59,61,813881.0,14936.0,179765.0,242018.0,233197.0,512043.0,494213.0,521091.0,11.0,2.0,5.0,5.0,15.0,3.0,9.0,11.0
60,62,3149.0,45324.0,0.0,5232.0,1972.0,0.0,43923.0,12807.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
61,63,0.0,30903.0,0.0,44342.0,17193.0,64340.0,0.0,22722.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
62,64,49105.0,76845.0,178397.0,5605.0,10012.0,0.0,16443.0,23052.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0
63,65,0.0,38165.0,0.0,106952.0,0.0,162567.0,7929.0,41312.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0
64,66,45267.0,46354.0,0.0,79816.0,2832.0,64340.0,3379.0,8262.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
65,67,157350.0,108469.0,132188.0,115732.0,205528.0,96114.0,182493.0,135801.0,4.0,3.0,2.0,5.0,9.0,7.0,10.0,6.0
66,68,306434.0,37495.0,185063.0,79816.0,56029.0,14477.0,5631.0,0.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0
67,69,9998.0,13020.0,43691.0,13125.0,11580.0,54594.0,8897.0,0.0,3.0,3.0,6.0,2.0,5.0,7.0,1.0,0.0
68,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,71,16631.0,47229.0,10055.0,8780.0,36610.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0
70,72,0.0,27998.0,18641.0,20388.0,39029.0,9866.0,42908.0,26216.0,0.0,3.0,2.0,3.0,6.0,3.0,4.0,5.0
71,73,162369.0,955355.0,1652459.0,869721.0,1963547.0,251624.0,851654.0,1461615.0,1.0,7.0,8.0,5.0,10.0,3.0,2.0,6.0
72,74,84874.0,649778.0,617666.0,174396.0,0.0,88736.0,0.0,153722.0,3.0,5.0,4.0,3.0,0.0,2.0,0.0,4.0
73,75,63570.0,97447.0,91108.0,104009.0,54471.0,81498.0,96293.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0
74,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,77,835709.0,650345.0,476757.0,221576.0,1455596.0,436358.0,615935.0,1020751.0,5.0,2.0,8.0,1.0,3.0,9.0,4.0,6.0
76,78,295709.0,0.0,279628.0,207076.0,193119.0,75278.0,386240.0,22763.0,3.0,0.0,3.0,4.0,2.0,2.0,3.0,1.0
77,79,137423.0,29615.0,47339.0,0.0,0.0,244762.0,15227.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0
78,80,0.0,185415.0,27115.0,165129.0,262952.0,0.0,37391.0,31232.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0
79,81,611394.0,1228841.0,443280.0,1036268.0,1297066.0,1446587.0,1186539.0,1722912.0,3.0,6.0,2.0,3.0,6.0,5.0,9.0,3.0
80,82,116512.0,619751.0,205433.0,933574.0,24171.0,2165323.0,554759.0,682267.0,3.0,5.0,3.0,8.0,1.0,12.0,4.0,5.0
81,83,847173.0,163423.0,2236684.0,238426.0,2548011.0,4798188.0,2422293.0,801369.0,2.0,2.0,8.0,2.0,6.0,6.0,5.0,4.0
82,84,327198.0,184952.0,291491.0,0.0,0.0,752783.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0
83,85,324393.0,290639.0,0.0,252039.0,389777.0,43805.0,91675.0,575764.0,5.0,2.0,0.0,4.0,3.0,1.0,2.0,6.0
84,86,516746.0,613880.0,605351.0,302056.0,1053024.0,1117540.0,603545.0,1067044.0,6.0,3.0,4.0,8.0,6.0,5.0,5.0,5.0
85,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,88,105639.0,1773757.0,504459.0,0.0,810602.0,2383814.0,313937.0,1238613.0,2.0,4.0,3.0,0.0,4.0,2.0,5.0,3.0
87,89,93633.0,45294.0,0.0,43207.0,18103.0,74528.0,48146.0,33371.0,4.0,6.0,0.0,3.0,2.0,4.0,1.0,5.0
88,90,308501.0,229967.0,123432.0,542567.0,0.0,342345.0,120901.0,127943.0,3.0,1.0,1.0,5.0,0.0,1.0,1.0,2.0
89,91,0.0,0.0,225962.0,0.0,450054.0,0.0,0.0,6527.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
90,92,1287095.0,700613.0,995136.0,1045712.0,985526.0,275591.0,1071303.0,687057.0,6.0,6.0,14.0,9.0,10.0,8.0,6.0,8.0
91,93,0.0,35229.0,93378.0,0.0,31706.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
92,94,0.0,0.0,0.0,0.0,0.0,61767.0,32548.0,83698.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
93,95,88565.0,117222.0,0.0,106776.0,178807.0,34207.0,47978.0,7354.0,2.0,7.0,0.0,8.0,5.0,4.0,4.0,1.0
94,96,873152.0,1352916.0,1360966.0,509532.0,1130848.0,534830.0,455277.0,299842.0,7.0,6.0,7.0,5.0,7.0,3.0,4.0,1.0
95,97,4492901.0,1805484.0,6588025.0,3440126.0,4805312.0,4640072.0,3839934.0,1638140.0,5.0,3.0,9.0,12.0,9.0,7.0,4.0,5.0
96,98,53139.0,73394.0,438028.0,176037.0,119138.0,89648.0,57776.0,101256.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0
97,99,35524.0,225228.0,61010.0,585489.0,385478.0,403039.0,78836.0,245268.0,1.0,3.0,1.0,9.0,5.0,6.0,2.0,5.0
98,100,0.0,2082422.0,1310804.0,5098375.0,0.0,0.0,381961.0,48748.0,0.0,2.0,5.0,11.0,0.0,0.0,1.0,1.0
99,101,0.0,0.0,0.0,0.0,0.0,138546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,102,555106.0,2688217.0,2650306.0,797309.0,671845.0,378805.0,614809.0,2045517.0,4.0,10.0,12.0,11.0,9.0,6.0,6.0,6.0
101,103,0.0,0.0,0.0,0.0,0.0,0.0,134021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
102,104,66916.0,54492.0,74115.0,53210.0,6068.0,8043.0,33224.0,12228.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0
103,105,9742.0,17821.0,0.0,0.0,53197.0,28739.0,11713.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0
104,106,570752.0,443967.0,170657.0,976051.0,64201.0,184442.0,458533.0,177641.0,4.0,4.0,2.0,6.0,4.0,3.0,4.0,4.0
105,107,0.0,0.0,0.0,400140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
106,108,0.0,20602.0,10157.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
107,109,5904.0,0.0,1808.0,0.0,2013.0,0.0,4955.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
108,110,0.0,601147.0,1315300.0,125975.0,336327.0,1059472.0,67010.0,565147.0,0.0,7.0,7.0,2.0,2.0,5.0,2.0,1.0
109,111,0.0,4017.0,0.0,0.0,0.0,0.0,47302.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
110,112,305697.0,660543.0,1235501.0,1096083.0,1298683.0,757555.0,43867.0,1039614.0,1.0,2.0,7.0,8.0,3.0,3.0,1.0,2.0
111,113,480751.0,912038.0,912320.0,992459.0,973824.0,1595322.0,345448.0,1644421.0,3.0,3.0,3.0,4.0,4.0,8.0,8.0,6.0
112,114,247491.0,32963.0,0.0,65626.0,7585.0,217686.0,0.0,136577.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0
113,115,512446.0,937481.0,452940.0,80037.0,390789.0,345937.0,957576.0,1746980.0,8.0,6.0,2.0,1.0,4.0,4.0,2.0,6.0
114,116,302105.0,40173.0,0.0,48776.0,0.0,52545.0,103782.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
115,117,0.0,15451.0,45079.0,137327.0,76721.0,684690.0,0.0,237584.0,0.0,1.0,1.0,1.0,3.0,6.0,0.0,4.0
116,118,960092.0,3585937.0,2167197.0,2966201.0,1605478.0,2080019.0,737173.0,978017.0,6.0,11.0,7.0,10.0,7.0,5.0,6.0,7.0
117,119,309437.0,54801.0,695623.0,171869.0,557257.0,509040.0,383030.0,196231.0,3.0,1.0,5.0,1.0,6.0,3.0,3.0,1.0
118,120,312241.0,776994.0,1065804.0,221575.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0
119,121,0.0,0.0,0.0,0.0,185584.0,0.0,346203.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0
120,122,9742.0,56552.0,0.0,30454.0,131678.0,259346.0,325199.0,0.0,1.0,3.0,0.0,2.0,3.0,4.0,3.0,0.0
121,123,68884.0,13288.0,57168.0,13436.0,5664.0,20589.0,204252.0,13963.0,4.0,1.0,3.0,3.0,1.0,2.0,5.0,1.0
122,124,0.0,101773.0,22596.0,96887.0,506.0,0.0,64195.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
123,125,12793.0,15967.0,4971.0,23058.0,0.0,0.0,25340.0,37842.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0
124,126,429541.0,80965.0,17512.0,54718.0,54613.0,331460.0,135586.0,106684.0,5.0,3.0,2.0,7.0,2.0,6.0,11.0,5.0
125,127,205668.0,0.0,272284.0,0.0,322976.0,0.0,0.0,251176.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0
126,128,128381.0,30254.0,31860.0,25231.0,21947.0,49488.0,106462.0,27596.0,11.0,3.0,3.0,3.0,2.0,4.0,6.0,2.0
127,129,0.0,61805.0,5876.0,0.0,0.0,5791.0,0.0,17187.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0
128,130,804908.0,567578.0,484405.0,1652975.0,417943.0,541961.0,426897.0,631635.0,5.0,4.0,7.0,10.0,5.0,4.0,3.0,8.0
129,131,5687.0,263700.0,45192.0,92231.0,191147.0,55761.0,111496.0,15699.0,2.0,9.0,1.0,3.0,4.0,2.0,2.0,1.0
130,132,186527.0,3399.0,41691.0,69582.0,157519.0,772815.0,0.0,241633.0,5.0,1.0,3.0,5.0,3.0,3.0,0.0,3.0
131,133,88565.0,0.0,99762.0,57645.0,274887.0,467809.0,195400.0,157482.0,2.0,0.0,2.0,2.0,4.0,4.0,4.0,6.0
132,134,0.0,24722.0,0.0,0.0,0.0,576598.0,1414938.0,457612.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,4.0
133,135,0.0,0.0,44063.0,21905.0,129454.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
134,136,0.0,188763.0,951977.0,1119851.0,0.0,331621.0,0.0,136081.0,0.0,3.0,4.0,4.0,0.0,1.0,0.0,3.0
135,137,154251.0,53822.0,1082074.0,73963.0,117115.0,0.0,0.0,363750.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0,3.0
136,138,1548657.0,1744812.0,1747362.0,410295.0,2020944.0,2352716.0,1012311.0,521976.0,7.0,6.0,5.0,3.0,5.0,12.0,5.0,3.0
137,139,1103618.0,1417914.0,2387398.0,1697503.0,1242754.0,315075.0,234141.0,170329.0,7.0,9.0,6.0,9.0,4.0,3.0,6.0,3.0
138,140,1892142.0,892467.0,2963093.0,1546066.0,446666.0,363684.0,1431381.0,880686.0,4.0,6.0,14.0,10.0,6.0,1.0,7.0,5.0
139,141,0.0,0.0,0.0,0.0,4045.0,6434.0,4482.0,3305.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
140,143,0.0,0.0,20336.0,18447.0,0.0,28910.0,41219.0,3098.0,0.0,0.0,2.0,2.0,0.0,6.0,3.0,1.0
141,144,4231.0,0.0,61123.0,0.0,0.0,0.0,7771.0,7024.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0
142,145,63570.0,0.0,1233242.0,206943.0,0.0,194576.0,1404971.0,521975.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0
143,146,175358.0,0.0,58976.0,420715.0,1237194.0,101336.0,241237.0,341318.0,2.0,0.0,1.0,4.0,9.0,1.0,4.0,5.0
144,147,604849.0,69737.0,104846.0,243659.0,111451.0,232323.0,552124.0,339616.0,6.0,3.0,4.0,8.0,2.0,7.0,12.0,8.0
145,148,0.0,0.0,8925.0,0.0,6675.0,0.0,1464.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
146,149,361345.0,58715.0,241496.0,965365.0,0.0,77423.0,64195.0,447408.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,2.0
147,150,0.0,13803.0,70501.0,21462.0,6473.0,11067.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0
148,151,0.0,408068.0,128798.0,96887.0,110491.0,241298.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0
149,152,742076.0,223116.0,645121.0,0.0,192108.0,519603.0,221473.0,0.0,7.0,2.0,4.0,0.0,3.0,3.0,1.0,0.0
150,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,154,447745.0,545946.0,452488.0,385596.0,156558.0,512471.0,494696.0,278235.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,6.0
152,155,351062.0,1441710.0,908309.0,429229.0,1711114.0,625443.0,640825.0,144839.0,2.0,9.0,5.0,5.0,9.0,4.0,3.0,3.0
153,156,96310.0,2002426.0,674541.0,217878.0,1394155.0,1055827.0,908190.0,167313.0,3.0,12.0,6.0,2.0,4.0,3.0,2.0,1.0
154,157,73804.0,0.0,0.0,0.0,0.0,28953.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
155,158,0.0,0.0,88012.0,33522.0,58507.0,3163.0,31252.0,8427.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0
156,159,213147.0,279514.0,518188.0,479512.0,43236.0,569198.0,158348.0,289348.0,4.0,3.0,5.0,5.0,1.0,5.0,1.0,3.0
157,160,0.0,0.0,0.0,3104.0,0.0,213932.0,246081.0,235478.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
158,161,3001269.0,518648.0,247428.0,1658872.0,1591067.0,1594302.0,1530849.0,274724.0,8.0,2.0,1.0,4.0,4.0,5.0,5.0,1.0
159,162,121177.0,480266.0,921494.0,1025590.0,133094.0,888048.0,753674.0,152225.0,2.0,7.0,7.0,10.0,3.0,8.0,7.0,3.0
160,163,486615.0,359500.0,55677.0,11883.0,1517.0,38604.0,0.0,1239.0,5.0,2.0,6.0,4.0,1.0,1.0,0.0,1.0
161,164,0.0,0.0,0.0,0.0,232612.0,0.0,412595.0,28918.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0
162,165,32474.0,642774.0,834815.0,639941.0,520547.0,0.0,0.0,88474.0,1.0,7.0,4.0,6.0,6.0,0.0,0.0,2.0
163,166,84137.0,345800.0,147157.0,130897.0,181397.0,157205.0,78048.0,102900.0,1.0,5.0,2.0,1.0,7.0,3.0,1.0,3.0
164,167,1337232.0,171252.0,179244.0,291991.0,758468.0,285221.0,2521480.0,682465.0,6.0,1.0,2.0,4.0,6.0,1.0,8.0,8.0
165,168,458078.0,622378.0,158286.0,306047.0,272864.0,1015667.0,446156.0,423860.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0
166,169,2283.0,13391.0,70501.0,2572.0,55625.0,8418.0,483320.0,6072.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,3.0
167,170,411925.0,216626.0,432378.0,115289.0,182044.0,469472.0,643640.0,176072.0,6.0,6.0,5.0,1.0,2.0,5.0,8.0,4.0
168,171,38378.0,52946.0,24969.0,0.0,13148.0,6970.0,106991.0,11832.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0
169,172,205224.0,137053.0,243643.0,63187.0,136937.0,200688.0,0.0,88697.0,6.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0
170,173,77071.0,53606.0,27115.0,25896.0,45067.0,49649.0,10271.0,0.0,6.0,6.0,1.0,3.0,5.0,2.0,2.0,0.0
171,175,33851.0,24722.0,0.0,61813.0,26093.0,39730.0,9291.0,26605.0,3.0,3.0,0.0,6.0,2.0,4.0,2.0,3.0
172,176,0.0,0.0,0.0,0.0,0.0,235915.0,2478.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
