,°í°´¹øÈ£,°¡±¸·ù_ÃÑ±¸¸Å¾×1,°¡±¸·ù_ÃÑ±¸¸Å¾×2,°¡±¸·ù_ÃÑ±¸¸Å¾×3,°¡±¸·ù_ÃÑ±¸¸Å¾×4,°¡±¸·ù_ÃÑ±¸¸Å¾×5,°¡±¸·ù_ÃÑ±¸¸Å¾×6,°¡±¸·ù_ÃÑ±¸¸Å¾×7,°¡±¸·ù_ÃÑ±¸¸Å¾×8,°¡±¸·ù_ÃÑ±¸¸ÅÈ½¼ö1,°¡±¸·ù_ÃÑ±¸¸ÅÈ½¼ö2,°¡±¸·ù_ÃÑ±¸¸ÅÈ½¼ö3,°¡±¸·ù_ÃÑ±¸¸ÅÈ½¼ö4,°¡±¸·ù_ÃÑ±¸¸ÅÈ½¼ö5,°¡±¸·ù_ÃÑ±¸¸ÅÈ½¼ö6,°¡±¸·ù_ÃÑ±¸¸ÅÈ½¼ö7,°¡±¸·ù_ÃÑ±¸¸ÅÈ½¼ö8
11,13,18697.0,10198.0,0.0,0.0,0.0,0.0,417718.0,96174.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
12,14,213639.0,30284.0,0.0,0.0,94157.0,41821.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
13,15,0.0,0.0,0.0,0.0,0.0,0.0,115551.0,188382.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
14,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,17,0.0,0.0,0.0,0.0,68267.0,93615.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
16,18,0.0,1037400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18,20,0.0,0.0,0.0,0.0,504667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,21,0.0,153895.0,0.0,17559.0,0.0,8900.0,87846.0,6544.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0
20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,23,0.0,0.0,160998.0,44164.0,14412.0,0.0,95009.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
22,24,140129.0,0.0,0.0,25364.0,0.0,14906.0,207113.0,64447.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
23,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,26,0.0,0.0,0.0,21826367.0,4988062.0,1636307.0,16049.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,1.0,0.0
25,27,0.0,0.0,0.0,0.0,0.0,138975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,29,560961.0,410026.0,383174.0,453262.0,151804.0,0.0,235912.0,0.0,4.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0
28,30,0.0,155595.0,41860.0,40440.0,14412.0,376928.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0
29,31,0.0,0.0,107954.0,17736.0,128746.0,53081.0,0.0,59489.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0
30,32,5904.0,6180.0,6778.0,0.0,0.0,0.0,0.0,19169.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
31,33,26569.0,81377.0,0.0,22082.0,0.0,0.0,0.0,45278.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
32,34,0.0,0.0,0.0,0.0,90011.0,0.0,394180.0,32223.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0
33,35,0.0,0.0,119759.0,0.0,0.0,0.0,87846.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
34,36,1093994.0,2719067.0,0.0,0.0,0.0,89755.0,0.0,240411.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0
35,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,38,0.0,62012.0,28132.0,17737.0,169503.0,0.0,44937.0,20491.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0
37,39,126205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,40,0.0,0.0,0.0,0.0,0.0,506145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
39,41,0.0,0.0,0.0,0.0,1011357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,42,49498.0,0.0,0.0,5942.0,90921.0,7185.0,39080.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0
41,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,44,0.0,0.0,0.0,1695116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
43,45,119661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,46,129945.0,0.0,0.0,383335.0,0.0,254359.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
45,47,0.0,0.0,13219.0,83407.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
46,48,226381.0,29357.0,94452.0,0.0,98607.0,4997515.0,892593.0,0.0,5.0,1.0,1.0,0.0,2.0,5.0,4.0,0.0
47,49,2050122.0,0.0,169584.0,0.0,1600462.0,434030.0,208296.0,0.0,2.0,0.0,2.0,0.0,2.0,5.0,2.0,0.0
48,50,170783.0,122580.0,133883.0,555337.0,64625.0,91042.0,73824.0,73535.0,2.0,3.0,2.0,6.0,2.0,2.0,1.0,2.0
49,51,68884.0,26782.0,10055.0,51436.0,269020.0,122247.0,32435.0,705855.0,1.0,1.0,1.0,2.0,7.0,3.0,1.0,7.0
50,52,0.0,14679.0,217884.0,82564.0,149489.0,49917.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0
51,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,55,0.0,0.0,0.0,109968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
54,56,0.0,0.0,330582.0,580922.0,0.0,706458.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0
55,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,58,0.0,159797.0,106258.0,224370.0,0.0,145677.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0
57,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,61,352291.0,91575.0,7909.0,0.0,0.0,0.0,13177.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
60,62,0.0,1353121.0,178962.0,404397.0,68974.0,185515.0,0.0,0.0,0.0,7.0,3.0,4.0,3.0,4.0,0.0,0.0
61,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,64,0.0,0.0,0.0,0.0,0.0,0.0,6645.0,16442.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
63,65,0.0,0.0,1131277.0,143756.0,0.0,20374.0,57551.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0
64,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,67,0.0,6799.0,0.0,0.0,0.0,8471.0,0.0,11567.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
66,68,0.0,0.0,0.0,0.0,753259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,71,0.0,0.0,0.0,44253.0,40353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
70,72,0.0,0.0,0.0,0.0,0.0,10616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,73,427769.0,160694.0,95525.0,1009308.0,45309.0,570484.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0
72,74,139637.0,172282.0,154557.0,0.0,322168.0,58442.0,70187.0,0.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0
73,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,76,53729.0,269471.0,32764.0,25718.0,0.0,213020.0,0.0,89234.0,1.0,5.0,1.0,1.0,0.0,3.0,0.0,2.0
75,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,78,48219.0,0.0,156140.0,221576.0,315422.0,155919.0,35949.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0
77,79,0.0,117430.0,11185.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
78,80,14367.0,40173.0,0.0,0.0,0.0,0.0,0.0,10741.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
79,81,766578.0,339464.0,103988.0,0.0,0.0,293392.0,0.0,49054.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0
80,82,0.0,424962.0,905655.0,8780.0,41263.0,25629.0,14416.0,4875.0,0.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0
81,83,0.0,0.0,0.0,0.0,2883327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
82,84,1576181.0,381647.0,327362.0,0.0,53804.0,122247.0,224683.0,78493.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
83,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,86,0.0,15245.0,22596.0,2583797.0,0.0,96511.0,66448.0,120482.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0
85,87,400904.0,0.0,11298.0,929050.0,0.0,0.0,235382.0,123622.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
86,88,0.0,46972.0,83719.0,0.0,65738.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
87,89,0.0,0.0,50005.0,22082.0,93955.0,0.0,0.0,2718.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,1.0
88,90,0.0,179276.0,0.0,5235465.0,162373.0,141603.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,1.0,0.0,0.0
89,91,393622.0,0.0,226640.0,0.0,69784.0,0.0,664475.0,69817.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
90,92,59201.0,81418.0,0.0,1778550.0,199278.0,0.0,751701.0,396677.0,2.0,1.0,0.0,3.0,4.0,0.0,10.0,4.0
91,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,95,5806.0,12257.0,0.0,5232.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
94,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,97,4991256.0,5235784.0,1434632.0,889364.0,129454.0,313767.0,1193803.0,0.0,3.0,6.0,6.0,3.0,1.0,1.0,3.0,0.0
96,98,0.0,0.0,0.0,61192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
97,99,0.0,462921.0,650431.0,0.0,853919.0,57049.0,0.0,255101.0,0.0,2.0,6.0,0.0,8.0,2.0,0.0,2.0
98,100,0.0,463435.0,44063.0,175744.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
99,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,102,0.0,0.0,0.0,0.0,0.0,707787.0,0.0,15699.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
101,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,105,11809.0,10095.0,437462.0,70947.0,0.0,16085.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0
104,106,0.0,0.0,0.0,17737.0,93854.0,212324.0,0.0,23961.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
105,107,1242566.0,40173.0,2789452.0,25718.0,0.0,868649.0,32661.0,704905.0,3.0,1.0,4.0,1.0,0.0,5.0,1.0,8.0
106,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,109,0.0,0.0,0.0,0.0,0.0,0.0,13481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108,110,198877.0,0.0,905202.0,0.0,0.0,63268.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
109,111,0.0,38938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
110,112,7922629.0,2967010.0,0.0,0.0,0.0,0.0,135147.0,1776543.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0
111,113,2340418.0,1211567.0,1008918.0,966208.0,0.0,2570799.0,435547.0,0.0,4.0,7.0,2.0,3.0,0.0,8.0,5.0,0.0
112,114,0.0,0.0,0.0,0.0,0.0,10723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,115,0.0,0.0,6097678.0,647036.0,5092182.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0
114,116,66423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,117,0.0,0.0,173652.0,11529.0,44601.0,9437.0,0.0,207220.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0
116,118,199123.0,67522.0,150264.0,0.0,490964.0,4038649.0,42797.0,429436.0,3.0,1.0,2.0,0.0,2.0,10.0,1.0,5.0
117,119,28046.0,3372409.0,0.0,129744.0,565996.0,235100.0,0.0,0.0,1.0,12.0,0.0,1.0,11.0,1.0,0.0,0.0
118,120,117791.0,0.0,272735.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
119,121,0.0,0.0,0.0,444350.0,1031584.0,0.0,0.0,77708.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
120,122,0.0,443195.0,368261.0,232529.0,0.0,3217023.0,0.0,219936.0,0.0,4.0,2.0,2.0,0.0,3.0,0.0,2.0
121,123,0.0,0.0,27793.0,13125.0,17395.0,0.0,11150.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0
122,124,1226585.0,0.0,0.0,43455.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
123,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,126,0.0,0.0,0.0,1773796.0,0.0,203745.0,0.0,6858.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
125,127,0.0,0.0,22483.0,0.0,20682.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
126,128,0.0,0.0,0.0,0.0,0.0,13083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
127,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,130,260775.0,2072338.0,180318.0,115421.0,855608.0,0.0,0.0,0.0,3.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0
129,131,0.0,0.0,178510.0,0.0,0.0,53617.0,110371.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0
130,132,0.0,0.0,55361.0,0.0,0.0,0.0,0.0,4536.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
131,133,0.0,0.0,0.0,0.0,36308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
132,134,97421.0,101979.0,657662.0,2558567.0,4639334.0,4719628.0,3479372.0,233908.0,1.0,1.0,5.0,17.0,7.0,5.0,1.0,1.0
133,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,136,0.0,375775.0,1296455.0,0.0,0.0,0.0,193712.0,2354075.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,6.0
135,137,383782.0,391042.0,0.0,102873.0,1193401.0,248783.0,35476.0,26109.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0
136,138,0.0,0.0,0.0,22969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
137,139,0.0,362075.0,8575.0,0.0,1507.0,0.0,55185.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0
138,140,0.0,0.0,2066984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
139,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,145,44873.0,50886.0,540500.0,0.0,249896.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0
143,146,145836.0,183561.0,210370.0,0.0,0.0,601261.0,47302.0,1527796.0,2.0,1.0,2.0,0.0,0.0,6.0,1.0,3.0
144,147,0.0,26576.0,35250.0,61192.0,100378.0,85572.0,38180.0,530031.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0
145,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,149,0.0,0.0,0.0,0.0,0.0,2732217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
147,150,148592.0,9168.0,123149.0,0.0,0.0,15012.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
148,151,83202.0,1599002.0,137385.0,0.0,246923.0,0.0,0.0,247252.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
149,152,0.0,0.0,253077.0,0.0,0.0,136123.0,43923.0,46311.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0
150,153,73805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,155,249212.0,71076.0,0.0,299085.0,464830.0,29543.0,798722.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,5.0,0.0
153,156,347175.0,58097.0,600493.0,508282.0,0.0,0.0,0.0,568864.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0
154,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,158,0.0,0.0,54230.0,0.0,0.0,0.0,14528.0,41312.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
156,159,483368.0,1393966.0,1370197.0,2057982.0,3235139.0,219830.0,747444.0,1012314.0,4.0,13.0,8.0,10.0,4.0,1.0,2.0,2.0
157,160,0.0,61805.0,0.0,106154.0,0.0,137035.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
158,161,4596002.0,0.0,546318.0,891926.0,233462.0,1310552.0,442191.0,0.0,9.0,0.0,4.0,11.0,3.0,5.0,1.0,0.0
159,162,27750.0,0.0,1031741.0,424724.0,730726.0,97755.0,241374.0,838928.0,1.0,0.0,8.0,2.0,7.0,2.0,2.0,5.0
160,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,164,0.0,37907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,165,51250.0,377444.0,0.0,16850.0,0.0,9866.0,1133280.0,128728.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,2.0
163,166,1800821.0,79646.0,519090.0,344403.0,90112.0,63268.0,103996.0,32223.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0
164,167,0.0,0.0,0.0,2801516.0,779008.0,0.0,325931.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0
165,168,229285.0,0.0,0.0,70770.0,0.0,1468591.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
166,169,605194.0,81377.0,0.0,0.0,0.0,0.0,4280.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
167,170,0.0,30800.0,70952.0,35385.0,5057.0,0.0,11938.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0
168,171,54221.0,292545.0,0.0,0.0,89201.0,30991.0,0.0,18053.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0
169,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,173,19681.0,0.0,0.0,0.0,12136.0,0.0,11262.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
171,175,21846.0,0.0,0.0,0.0,0.0,7399.0,0.0,20573.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
172,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,177,0.0,195716.0,0.0,126374.0,0.0,263850.0,48146.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
174,178,9742.0,0.0,0.0,467185.0,0.0,0.0,0.0,242129.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
175,179,132946.0,0.0,0.0,0.0,0.0,121711.0,0.0,323497.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
176,180,0.0,595956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
177,181,243062.0,0.0,0.0,0.0,0.0,0.0,0.0,160910.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,182,0.0,0.0,0.0,146905.0,0.0,634825.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
179,183,66522.0,0.0,0.0,0.0,38230.0,128467.0,0.0,106502.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0
180,184,186499.0,4265516.0,0.0,46337.0,0.0,30026.0,0.0,61224.0,2.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0
