,고객번호,편의품CV_S,선매품CV_S,전문품CV_S,기타CV_S
0,1,0.3209501550552867,0.43662657053222015,1.2047589221935946,0.5286338718963112
1,2,0.37984563345427375,0.41812803457419556,1.927442754651454,1.277118171787686
2,3,0.39246502268510636,1.7791871943008588,0.0,0.0
3,4,0.29341706359444686,0.5872734938655605,0.0,0.6931296574178442
4,6,0.31473647131802207,0.28109387372477174,1.1382233671131714,0.2546891803974258
5,7,0.24611854477452208,0.5035531091374676,2.294721790032309,0.46161772475893326
6,8,0.2941277387737809,0.34991466602272214,1.6153912991302717,0.48228910792767066
7,9,0.9685119489101423,0.5528292729611687,1.8511413078293124,1.5298473187638875
8,10,0.06265791804954887,0.6541967013027407,2.4494897427831774,0.9003110549955765
9,11,0.23887470676733263,0.46157154459714606,1.5154303737219386,0.8406133041179913
10,12,0.5231030989994483,1.0359135956848933,0.0,0.0
11,13,0.16206896437475324,0.36981731237918275,2.449489742783178,0.7088900603459592
12,14,0.3304728434148579,0.3935272302251533,1.4633741753690215,0.5687988450420107
13,15,0.18101480204837456,0.5806932407973804,0.0,0.7810579327591288
14,16,0.49489148772747366,0.5744156087005089,2.449489742783178,1.5545826435961387
15,17,1.1561901483927082,0.610717964094602,1.6368508765981509,2.104915428512669
16,18,0.5125799629691662,1.2748539669564638,2.449489742783178,0.7314943328786807
17,19,0.33576728706602954,0.5426068861360499,1.6753671851570955,2.449489742783178
18,20,0.17027559542086512,0.6095472573952794,0.0,0.7127695631536114
19,21,0.26544968518458545,0.6544742463102604,1.5602654890444165,1.6279557011380792
20,22,0.3805186031379555,0.5666471220053925,0.6587497248123407,0.7743680473821918
21,23,0.44182623068219323,0.4451216322160273,2.2339740557627734,0.4785426431180005
22,24,0.24147150615777857,0.3701680622681931,2.4494897427831783,0.7173967213688779
23,25,0.24747025453687554,0.9645976513181619,1.1069559349097997,0.7416219242458177
24,26,0.3704032572577815,0.8035966597163913,0.5063576242256136,0.43653799403645677
25,27,0.23961883743335544,0.5360211147515602,1.0395992705583161,1.164084353242591
26,28,0.27331108167968554,1.1717189102260333,0.0,1.8131940149716668
27,29,0.3541838355626827,0.13403296745743867,1.4363569214174077,0.7572905200109727
28,30,0.19201526403430916,0.28775827080423283,1.0049533035756992,0.7957407801904623
29,31,0.1622841157662178,0.5691603815721761,0.0,0.5463987743713999
30,32,0.3345901700186365,1.0547678224752328,2.4494897427831783,1.05819539355262
31,33,0.13759554120713124,1.213056645465942,0.0,1.9054483812817997
32,34,0.3616180556792419,0.9621533639278779,0.0,1.1953254812158909
33,35,0.6409482114056779,0.27196647726759354,2.4203975088124965,0.5381646112431752
34,36,0.4731047495457826,0.5290556741455921,0.0,0.6876215289712752
35,37,0.37111373002759546,0.7460615299475881,2.449489742783178,0.6236501457673035
36,38,0.16748199398723113,0.30939514046846933,2.4494897427831783,0.30876635144783315
37,39,0.3465213448250806,0.8706844831586514,2.4494897427831783,0.6370522942563143
38,40,0.28677886100617933,0.41191964520890445,2.449489742783178,1.0761107027868833
39,41,0.28400019777076224,0.6513831138102424,2.4494897427831783,0.2066288064566382
40,42,0.24046912639993123,0.6804862776903575,2.4494897427831783,1.3170158929005793
41,43,0.2647646063574989,1.952081867995821,0.0,2.449489742783178
42,44,0.4341265415465195,0.6844282785255006,2.1330351133969696,0.9844078762461893
43,45,0.2808753094837542,0.6645442772836228,2.1737800086534014,1.018813366169563
44,46,0.34881473936533897,0.5209647863088582,1.1466918940144288,0.5772224731505176
45,47,0.2970557213584397,0.9701966089614578,2.449489742783178,0.8788728495446168
46,48,0.26257469464223526,0.41544250896642493,1.371276838963437,1.6924515232667159
47,49,0.34792709443491826,0.458339985458562,1.0345162705783908,0.24587974550170005
48,50,0.1770236283898113,0.2754198595366964,1.549887189304358,0.5782039670905398
49,51,0.29028025216628484,0.69099032383955,0.0,1.6997799894315178
50,52,0.5382406894097229,0.5903285845817984,1.1856351940081638,0.3648715846361236
51,53,0.2729083044973594,0.9381069801525307,2.194992656567313,0.8610928805276941
52,54,0.2586891110472281,0.3803015653508409,0.0,0.524911820994507
53,55,0.20308399820057957,1.6777805360473979,0.0,1.8882439355799385
54,56,0.4035220029899142,0.8661046403168798,1.0927424368291525,0.24036711411173212
55,57,0.4184030122244483,2.0360407411839727,2.449489742783178,2.4494897427831783
56,58,0.2994805517883059,0.42795608138938257,0.5833143491433348,0.2922701354868462
57,59,0.22423459378945382,0.5044627650999769,1.097634643483902,0.40885361240133977
58,60,0.2507785848312421,0.49052525520536167,2.449489742783178,0.4391090822386092
59,61,0.2831269110156849,0.692995267402879,1.1009971199750888,1.6717044043700418
60,62,0.2983771939706543,0.5865154689591738,2.449489742783178,0.29890384317132707
61,63,0.1773151809151875,0.6871415519414568,0.0,0.9709491651199372
62,64,0.27275294501149805,1.1467677907110847,0.0,1.3434616236775667
63,65,0.3505421219408211,0.8302846607332247,1.7492330555444022,1.0350954928414369
64,66,0.13998854901327856,0.8972826774895741,0.0,0.7839823837185862
65,67,0.2100123458726022,0.89299094259034,0.0,1.1283289396587666
