고객번호,매출증감,증감확인
1,-1.145862473116442,감소
2,5.736718694681292,감소
3,22.821041506931635,증가
4,30.041694871275702,증가
6,30.0428545031034,증가
7,-47.35879446793353,감소
8,16.333984061403804,증가
9,27.551184585784394,증가
10,-1.1330973454186282,감소
11,-50.303232457818204,감소
12,43.16270987713713,증가
13,24.961422449772233,증가
14,-8.166580237738701,감소
15,-33.92456723897718,감소
16,35.38257531957432,증가
17,-5.398833476482646,감소
18,-92.15133545615716,감소
19,9.488416737213862,증가
20,-9.368982270037412,감소
21,16.738315543171055,증가
22,-59.70649179139693,감소
23,21.774075878712203,증가
24,24.80128285837227,증가
25,41.968860874141214,증가
26,-22.911240358321177,감소
27,8.551305192954045,증가
28,49.45067342646629,증가
29,-1.0347274446469454,감소
30,26.237866442728652,증가
31,24.218404242125494,증가
32,38.32202400786408,증가
33,11.185411376669613,증가
34,-1.1327913346800067,감소
35,23.536398595004243,증가
36,16.563229750690073,증가
37,55.86747000069013,증가
38,24.82254251988906,증가
39,-61.44682534088921,감소
40,46.36081246463783,증가
41,4.10631174592652,감소
42,22.596677956455196,증가
43,0.1718732096540661,감소
44,31.00752215681651,증가
45,-9.57527533348883,감소
46,-32.706365705846395,감소
47,-44.469383983256265,감소
48,17.880115516691742,증가
49,49.886332430439765,증가
50,-2.7341953255926215,감소
51,-45.86503523873235,감소
52,-26.173734667545112,감소
53,-11.942842798026627,감소
54,-12.699740159714123,감소
55,13.037275772476928,증가
56,-54.2790599326142,감소
57,6.631053655522138,감소
58,-9.377119637964764,감소
59,0.4589626259384456,감소
60,40.61726894513731,증가
61,-22.098462443350044,감소
62,27.620846275807065,증가
63,45.39401755275268,증가
64,-81.67247651336076,감소
65,-11.291673913912037,감소
66,-8.979535602599949,감소
67,32.74526123600617,증가
68,-55.60313866966508,감소
69,26.739131593987636,증가
70,-28.858668799061952,감소
71,19.07729979408982,증가
72,16.39933386652862,증가
73,1.8430538651900787,감소
74,-60.77210166928246,감소
75,11.757472195333953,증가
76,5.805044013609116,감소
77,-3.5271955603626197,감소
78,15.578464991798938,증가
79,16.529029183074414,증가
80,12.077643939506935,증가
81,32.71187636477829,증가
82,39.39260759698807,증가
83,71.20424357667983,증가
84,-63.263178675986666,감소
85,53.99098025375009,증가
86,43.773056183556854,증가
87,-49.330243452289515,감소
88,7.637799722405086,증가
89,21.703422707032555,증가
90,52.19270341710589,증가
91,13.60112348891786,증가
92,26.35681492830222,증가
93,15.03414895856591,증가
94,98.64334472786858,증가
95,16.48776637726914,증가
96,-6.235760131948904,감소
97,-14.505739991979475,감소
98,9.235469203772599,증가
99,18.933743708699375,증가
100,38.370134436949016,증가
101,-13.394491026460626,감소
102,-65.57757064974696,감소
103,9.602054486856288,증가
104,17.2140889480172,증가
105,27.072132156530465,증가
106,-0.5929690831390095,감소
107,7.99278451253808,증가
108,7.258962561790755,증가
109,-32.09344839937053,감소
110,22.785113652609752,증가
111,4.388113841684073,감소
112,19.64968414531416,증가
113,-18.985387154127196,감소
114,-8.046586659263257,감소
115,23.127455706198894,증가
116,-8.73579569586791,감소
117,-24.25630461775528,감소
118,25.689812144033887,증가
119,44.56350323303504,증가
120,-0.0682637956095439,감소
121,-3.05378993036469,감소
122,37.963597242174515,증가
123,-7.494223443138916,감소
124,-58.1269473693568,감소
125,-65.21810886035298,감소
126,-16.76979761355493,감소
127,-9.187643860043995,감소
128,9.917488787212738,증가
129,41.91074812017408,증가
130,-65.55901656927003,감소
131,27.667709691715007,증가
132,-51.33156099170335,감소
133,30.531299487045498,증가
134,3.5535819304958873,감소
135,56.97074218175094,증가
136,80.80756502656412,증가
137,32.31066937658919,증가
138,-22.621514103512386,감소
139,15.144227422733023,증가
140,7.8561600785203884,증가
141,34.09415426296542,증가
