고객번호,가구류cv,고급식료품cv,기타cv,기호품cv,도서음반cv,레저취미cv,문구류cv,사치품cv,생활잡화cv,식료품cv,의류잡화cv,전자제품cv,차량용품cv,화장품cv
1,0.5103232478486837,0.6473073222993536,1.8916684824614776,1.048296104923239,0.0,0.628025074494829,0.0,0.830041588291219,0.7213072396600169,3.091508485999258,7.8402598428677726,0.42675925077639754,0.0,1.6345090848584822
2,0.5813136714967048,0.4082483283797638,0.78301285901458,0.9983835090686921,0.0,1.8395220333782178,0.0,0.5188221576281805,0.8662632612526643,3.4639554497344434,1.59949226109923,0.9181718074923118,0.0,2.301719533892608
3,0.0,0.0,0.0,4.0785452757353005,0.0,0.0,0.0,0.0,1.5196798797380833,1.9305147336591495,0.4082482525090273,0.40824808905595655,0.0,0.0
4,0.5702980029170643,0.5711518509908153,1.4427316224158648,1.413244812176155,0.0,0.5543345748470507,0.0,0.0,2.839113402922415,2.625884676576322,1.444159213611268,0.0,0.0,1.0300568576776479
6,0.4970977989075278,0.6006938610620136,3.9263539963186207,0.7911520079249191,0.0,0.408249973625404,0.0,0.8785621185996187,2.089644223909812,3.142659790914139,1.9417443725561974,0.0,0.0,3.40501470353083
7,0.6435398795653956,0.40824815643426937,2.16629470290963,1.4882360346856045,0.0,0.7228379285432983,1.125789479405594,0.43578267402306037,1.0589455187944854,4.161317248313981,1.8366852727302425,0.4082483085759718,0.0,0.7244985793014898
8,0.4082481612730243,2.846788421792958,2.0734450701868026,0.9551601131670951,0.0,0.0,0.40824829104050103,0.6190451572813952,2.2180674861391294,3.517537367252489,1.8100293699287846,1.0155793385621477,0.0,3.0126578500908225
9,0.5838826582980446,0.408248286007175,0.6536600059221745,1.0091172884363324,0.0,0.6744123167941822,0.0,0.5402072731026932,0.41618902922239037,1.4953266301589172,2.9301753221420315,0.6607859248520764,0.0,0.9481020879985047
10,0.4858684745452565,0.40824816373727135,1.1107271984956681,1.5450400242431284,0.0,0.0,0.7502037651829911,0.4082483251307553,2.8807002043595067,24.372371915924536,0.991194639662423,0.5333256834363337,0.0,1.077785393638075
11,0.7323513754549285,0.6551772369365237,1.189607557895956,1.9642451027695025,0.0,0.4516593719297178,0.5279212240341349,0.6598785513211426,1.0714082542005363,1.9800462249686297,1.723993156947787,0.6271677938311725,0.4082476136791421,2.6909529598386794
12,0.4082482349833683,0.0,0.0,1.0507503753409724,0.0,0.40824767679755475,0.0,0.0,1.6477591917013634,1.420843563712051,0.9765483396859135,0.0,0.0,0.6189360014926766
13,0.607293325716678,0.0,1.4106559342348841,2.127964554058816,0.0,0.47411711449218996,0.8776324512210416,0.4082485698581329,1.27814546370903,5.586592564036014,1.3269476119562722,0.0,0.0,1.6021775621330077
14,0.7779730453001539,0.6264560423406713,1.7580907836050956,1.104136258285963,0.0,1.4254404023076248,0.6407871062704085,0.6833522269142712,1.5577886828516787,3.5793250003803085,2.4978947320177665,0.5085822386863127,0.6434145749315493,1.1892683518138087
15,0.0,0.0,1.2803144145769805,1.4786511609148207,0.0,0.8389090246363007,0.40824949468419186,0.0,1.4962528478708004,4.672415976791832,1.6221318658992907,0.0,0.0,1.2799025944150242
16,0.0,1.181070756992729,0.6432598335530267,0.4082458215114125,0.0,0.4082482081568849,0.40824826396716474,0.40824846668976306,0.7655730426877678,2.5804173855527885,1.349928093224236,0.6246663152882029,0.0,0.7880839798758235
17,0.6339449644755498,0.5016608486973677,0.47507847225000327,0.7373260839592611,0.0,0.4082482855167095,0.0,0.6109292015968053,0.4475741086254424,0.6989906397302773,1.8478591385709195,0.5094404493825014,0.0,0.6295532368188869
18,0.4082482871162743,1.4623328075467594,1.3670645462399749,2.806248248510256,0.0,0.6082265467996272,0.0,0.4082483012507709,1.1848303768791446,1.8939920432183688,0.7391012481232901,0.40824827673916075,0.0,1.2311432172578327
19,0.0,0.7322226654703652,0.4082485717341184,0.613146841089861,0.0,0.7815439346296619,0.0,0.5968841093491241,1.927254932283938,3.0407493577145446,1.4823460411216953,0.0,0.0,1.519042096571856
20,0.4082483066497681,1.319588236955286,1.4029784322244836,0.7023762656808226,0.0,0.4311245050527992,0.0,0.0,2.4652428781510953,6.936944141513072,1.285605192247018,0.0,0.0,0.6340735260857737
21,0.4921764106702025,0.0,0.6142673694643014,2.115437742151183,0.913181332866846,0.6657444795787135,0.5941903539719009,0.6409160519390881,1.57161441156375,3.7042086462196764,0.8903799859357083,0.6243834236661515,0.4082487676484908,1.125129658426054
22,0.0,1.0865845572606616,1.2913755867095065,1.4158402540704682,0.0,0.4082483129252981,0.0,1.5180271999853685,0.5611608121925725,2.7174799513572045,0.8226599866205097,0.5809178040893959,0.0,1.5560972528513546
23,0.5780063717737781,1.4450155388207304,2.0896778981826216,0.9847716534326518,0.0,2.1151331707410272,0.40824808266668733,0.4476327740537832,1.0222819426972627,1.9766646825633027,1.0213416432358633,0.4082484225146374,0.4082477375490502,2.218606272523696
24,0.547520555808072,0.8324253514322427,1.39392876081288,1.1176709748666431,0.0,1.55333070141526,0.0,0.40824832366967406,2.251508184109606,3.3915084518578476,1.1596222131432514,0.0,0.5111614120040476,0.8977170148698145
25,0.0,0.4082482661509559,1.3483959263402643,1.1734072671241307,0.0,0.4082481692338142,0.0,0.9033783070059824,1.142414220881037,2.928094610109823,1.0029459260728097,0.0,0.0,0.8108615091772874
