,고객번호,A_구매금액,기타CV_S,식료품_NET,의류_NET,생활_NET,RFM등급,휴일_CV_S,편의품_CV_S,선매품CV_S,객단가증감률,B_구매금액,C_구매금액,kmeans_label
0,1,1.3677527689153768,-0.8409087285738345,-0.14445529959287218,0.23897048466274623,-3.2965000629831085,-1.7394254922262002,-0.015794431064409486,0.38242295012709787,-0.8034692716090384,-0.9129428604411723,-0.21418841167243488,-0.13518972512049743,2
1,2,1.7761462082357196,0.20144476092463304,-0.14445529959287218,1.2826335359245082,-0.05162574510212579,-0.7922790284219184,-0.4886429860513632,0.2988663668469892,-0.8481427315521773,-0.9129428604411723,-0.23460878077941638,-0.20571085499116187,2
2,3,-0.4967820171464121,-1.5692889809089894,-0.14445529959287218,0.23897048466274623,-0.05162574510212579,-0.0345618573784932,0.46630485214699435,0.07140658009936535,2.538650646787387,-0.20334567660124667,-0.24206872800532991,0.018349039142701747,0
3,4,-0.17081211876553432,-0.6574509985645511,-0.14445529959287218,0.23897048466274623,-0.8628443245723714,1.2914431919475016,0.2888857195888314,-0.3297631688538346,-0.5325114222574626,-0.9129428604411723,-0.1814651394576349,-0.1468863125200896,1
8,10,-0.4001929764314509,-0.19021364945799862,-0.14445529959287218,0.23897048466274623,-0.05162574510212579,-0.9817083211827745,-1.060246837235383,-1.2457384627147245,-0.3278694069063678,-0.20334567660124667,-0.14521260027484087,0.632940996018357,1
10,12,-0.40090662820961825,-1.5692889809089894,-0.14445529959287218,1.2826335359245082,-0.8628443245723714,2.2385896557517833,1.3759361847309708,0.6189594674804656,1.7984202869435115,-1.6225400453399945,-0.16471445536438392,-0.20571085499116187,0
11,13,-0.3467756644954922,-0.636696908154199,0.8546473773853711,0.23897048466274623,-1.6740629040426172,-0.0345618573784932,-1.2454976381619485,-0.7356620749569315,-0.966028337571552,0.5062515082975754,0.1498691769677748,-0.16056185028618186,1
12,14,0.18719041057715843,-0.6867514794969807,-0.14445529959287218,0.23897048466274623,-0.8628443245723714,-1.5499961994653437,-0.5346436149112649,-0.09105372301835835,-0.7587964704166332,0.5062515082975754,-0.15961935783316827,-0.021919912255753356,1
13,15,-0.03546061131485715,-0.5119032989009346,-0.14445529959287218,-1.848355617860778,2.382029993308611,0.7231553136649329,1.1889504302367944,-0.3095140647390708,-0.20320134586374244,0.5062515082975754,-0.06181138581533005,-0.17595676488196607,1
15,17,2.577833745841104,1.2207640923183642,-0.14445529959287218,0.23897048466274623,-0.05162574510212579,-0.4134204429002054,0.8378765651832679,3.127962913776058,-0.4630710405497378,-0.20334567660124667,-0.09732838837158143,-0.15726560895793928,2
16,18,1.3346445328725898,-0.5411646425280605,-1.1435579765711155,-0.8046925665990159,0.7595928343681199,-0.4134204429002054,3.1718820586886225,0.6581687067393138,1.354147228322792,1.9254458780952195,-0.23101285481997366,-0.1829520425086708,2
17,19,0.4665939307629041,2.347770315889509,-0.14445529959287218,0.23897048466274623,-0.8628443245723714,-1.3605669067044872,0.6206935738480791,-0.1414374140447633,-0.6342264010184487,-0.9129428604411723,-0.24209675200212977,-0.20499878425241158,2
18,20,0.014830915123194555,-0.5491830267379277,-0.14445529959287218,0.23897048466274623,-1.6740629040426172,-0.2239911501393489,-0.6285999850543293,-0.7380429944235585,-0.5134976762877539,-0.9129428604411723,-0.24190469495394712,-0.20226522275267173,1
19,21,-0.44446031603359804,0.3526146399490926,0.8546473773853711,0.23897048466274623,0.7595928343681199,-0.0345618573784932,-0.30220664071864367,-0.39072148907964227,-0.2388358090470357,-0.20334567660124667,0.5304083456294184,-0.20531103805908624,1
24,26,2.2572356846539847,-0.9264633513946006,-0.14445529959287218,0.23897048466274623,-0.8628443245723714,-0.7922790284219184,0.3294570026638198,-0.01669601610565898,0.06135981427905726,-0.20334567660124667,-0.2194622641822985,-0.20200458699788806,2
25,27,0.8898487855393286,-0.10908443217749002,1.8537500543636145,0.23897048466274623,-0.05162574510212579,-0.4134204429002054,-0.280522265750861,0.5348638862735816,-0.42896602743162626,-0.20334567660124667,-0.23404400410928425,-0.2032622492530792,1
26,28,-0.45396576415073453,1.3632846200797852,0.8546473773853711,-0.8046925665990159,1.5708114138383655,-0.4134204429002054,-0.7241421511313045,-0.390097020733566,1.810658826126272,-3.0417344151376384,0.013773975575048492,-0.20499453059574388,0
31,33,-0.4931537573281222,1.0452418191267183,0.8546473773853711,-0.8046925665990159,-0.8628443245723714,0.15486743538236333,-0.7130297166635513,-0.65922087420798,1.1973887029263852,0.5062515082975754,0.12924023509561716,-0.1715192114880228,0
32,34,-0.16001211209810365,0.3736650007889385,-2.142660653549359,1.2826335359245082,-0.8628443245723714,0.3442967281432199,-0.5360729036654107,0.3902970197859231,0.11394591602991758,-1.6225400453399945,-0.24132878316182005,-0.19368903941434376,1
34,36,0.48039206051349775,-0.6227163665287946,0.8546473773853711,4.413622689709794,-0.05162574510212579,-0.7922790284219184,1.3068137003926064,0.5036085574348682,-0.6282921103146156,0.5062515082975754,-0.22538137854742343,-0.17410033322483942,2
